,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
3437,"Cake, pineapple, upside down",43.55,3.51,16.52,336.92
3438,"Cake or cupcake, white, with icing or filling",56.2,2.99,17.91,397.95
3439,"Cake or cupcake, white, without icing or filling",49.55,3.79,13.15,331.71
3440,"Cake or cupcake, yellow, with icing or filling",55.36,3.16,17.75,393.83
3441,"Cake or cupcake, yellow, without icing or filling",45.37,4.54,16.29,346.25
3442,"Cake, shortcake, biscuit type, with whipped cream and fruit",27.86,4.04,10.35,220.75
3443,"Cake, shortcake, biscuit type, with fruit",30.98,4.26,8.64,218.72
3444,"Cake, shortcake, sponge type, with whipped cream and fruit",47.31,4.21,4.25,244.33
3445,"Cake, shortcake, sponge type, with fruit",52.64,4.44,2.22,248.3
3446,"Cake, shortcake, with whipped topping and fruit, diet",40.5,3.62,4.75,219.23
3447,"Cake or cupcake, zucchini",45.98,4.24,27.5,448.38
3448,"Cookie, batter or dough, raw",54.13,4.8,22.24,435.88
3449,"Cookie, NFS",65.36,5.1,24.72,504.32
3450,"Cookie, almond",63.78,5.37,26.22,512.58
3451,"Cookie, applesauce",68.7,6.2,18.1,462.5
3452,"Cookie, biscotti",66.36,7.38,8.09,367.77
3453,"Cookie, brownie, NS as to icing",63.9,4.8,16.3,421.5
3454,"Cookie, brownie, without icing",63.9,4.8,16.3,421.5
3455,"Cookie, brownie, with icing or filling",63.55,2.94,16.95,418.51
3456,"Cookie, brownie, reduced fat, NS as to icing",61.58,2.77,9.68,344.52
3457,"Cookie, brownie, fat free, NS as to icing",61.58,2.77,9.68,344.52
3458,"Cookie, butterscotch, brownie",63.9,4.8,16.3,421.5
3459,"Cookie, bar, with chocolate",65.36,5.1,24.72,504.32
3460,"Cookie, chocolate chip",65.36,5.1,24.72,504.32
3461,"Cookie, chocolate chip, made from home recipe or purchased at a bakery",59.38,5.81,28.12,513.84
3462,"Cookie, chocolate chip, reduced fat",67.49,5.97,17.91,455.03
3463,"Cookie, chocolate chip sandwich",63.52,2.94,17.65,424.69
3464,"Cookie, chocolate, made with rice cereal",63.26,3.23,19.35,440.11
3465,"Cookie, chocolate, made with oatmeal and coconut, no bake",68.7,6.2,18.1,462.5
3466,"Cookie, chocolate or fudge",72.7,6.6,14.2,445.0
3467,"Cookie, chocolate or fudge, reduced fat",67.49,5.97,17.91,455.03
3468,"Cookie, chocolate, with chocolate filling or coating, fat free",67.49,5.97,17.91,455.03
3469,"Cookie, marshmallow, chocolate-covered",67.7,4.0,16.9,438.9
3470,"Cookie, marshmallow pie, chocolate covered",67.7,4.0,16.9,438.9
3471,"Cookie, chocolate, with icing or coating",67.87,4.5,24.2,507.28
3472,"Cookie, sugar wafer, chocolate-covered",65.99,3.45,27.59,526.07
3473,"Cookie, chocolate sandwich",71.0,5.21,19.14,477.1
3474,"Cookie, chocolate sandwich, reduced fat",76.17,2.94,13.24,435.6
3475,"Cookie, chocolate, sandwich, with extra filling",68.2,4.33,24.52,510.8
3476,"Cookie, chocolate and vanilla sandwich",71.0,5.21,19.14,477.1
3477,"Cookie, chocolate wafer",72.7,6.6,14.2,445.0
3478,"Cookie, graham cracker with chocolate and marshmallow",68.97,6.36,18.57,468.45
3479,"Cookie bar, with chocolate, nuts, and graham crackers",65.36,5.1,24.72,504.32
3480,"Cookie, coconut",61.22,3.02,22.55,459.91
3481,"Cookie, fruit-filled bar",70.9,3.7,7.3,364.1
3482,"Cookie, fruit-filled bar, fat free",70.9,3.7,7.3,364.1
3483,"Cookie, fig bar",70.9,3.7,7.3,364.1
3484,"Cookie, fig bar, fat free",70.9,3.7,7.3,364.1
3485,"Cookie, fortune",84.0,4.2,2.7,377.1
3486,"Cookie, cone shell, ice cream type, wafer or cake",79.0,8.1,6.9,410.5
3487,"Cookie, gingersnaps",76.9,5.6,9.8,418.2
3488,"Cookie, granola",66.7,9.8,17.6,464.4
3489,"Cookie, ladyfinger",59.7,10.6,9.1,363.1
3490,"Cookie, lemon bar",62.35,5.01,18.73,438.01
3491,"Cookie, macaroon",61.22,3.02,22.55,459.91
3492,"Cookie, marshmallow, with coconut",67.7,4.0,16.9,438.9
3493,"Cookie, marshmallow, with rice cereal, no bake",80.5,3.4,9.0,416.6
3494,"Cookie, marshmallow, with rice cereal and chocolate chips",63.26,4.55,18.18,434.86
3495,"Cookie, marshmallow and peanut butter, with oat cereal, no bake",80.5,3.4,9.0,416.6
3496,"Cookie, meringue",80.44,5.75,0.34,347.82
3497,"Cookie, molasses",73.8,5.6,12.8,432.8
3498,"Cookie, Lebkuchen",73.8,5.6,12.8,432.8
3499,"Cookie, multigrain, high fiber",66.7,9.8,17.6,464.4
3500,"Cookie, oatmeal",68.7,6.2,18.1,462.5
3501,"Cookie, oatmeal, with raisins",68.7,6.2,18.1,462.5
3502,"Cookie, oatmeal, reduced fat, NS as to raisins",64.62,4.02,10.04,364.92
3503,"Cookie, oatmeal sandwich, with creme filling",55.62,2.61,18.29,397.53
3504,"Cookie, oatmeal, with chocolate chips",67.56,5.72,20.92,481.4
3505,"Cookie, oatmeal sandwich, with peanut butter and jelly filling",55.62,2.61,18.29,397.53
3506,"Cookie, oatmeal, with chocolate and peanut butter, no bake",68.7,6.2,18.1,462.5
3507,"Cookie, peanut butter",58.15,8.92,23.82,482.66
3508,"Cookie, peanut butter, with chocolate",59.51,7.8,25.29,496.85
3509,"Cookie, peanut butter with rice cereal, no bake",80.5,3.4,9.0,416.6
3510,"Cookie, peanut butter sandwich",65.6,8.8,21.1,487.5
3511,"Cookie, with peanut butter filling, chocolate-coated",52.9,8.1,35.3,561.7
3512,"Cookie, Pfeffernusse",63.78,5.37,26.22,512.58
3513,"Cookie, Pizzelle",79.0,8.1,6.9,410.5
3514,"Cookie, pumpkin",68.7,6.2,18.1,462.5
3515,"Cookie, raisin",68.0,4.1,13.6,410.8
3516,"Cookie, raisin sandwich, cream-filled",55.62,2.61,18.29,397.53
3517,"Cookie, rum ball, no bake",63.78,5.37,26.22,512.58
3518,"Cookie, sandwich-type, not chocolate or vanilla",72.1,4.5,20.0,486.4
3519,"Cookie, shortbread",63.78,5.37,26.22,512.58
3520,"Cookie, shortbread, reduced fat",75.99,5.37,14.0,451.44
3521,"Cookie, shortbread, with icing or filling",62.6,5.05,28.31,525.39
3522,Pocky,51.08,10.0,22.5,446.82
3523,"Cookie, animal",74.1,6.9,13.8,448.2
3524,"Cookie, animal, with frosting or icing",70.09,3.0,24.1,509.26
3525,"Cookie, butter or sugar",67.34,5.35,19.55,466.71
3526,Marie biscuit,70.54,7.05,10.58,405.58
3527,"Cookie, butter or sugar, with fruit and/or nuts",65.26,6.58,20.71,473.75
3528,"Cookie, sugar wafer",70.64,3.84,23.24,507.08
3529,"Cookie, toffee bar",65.36,5.1,24.72,504.32
3530,"Cookie, vanilla sandwich",72.1,4.5,20.0,486.4
3531,"Cookie, vanilla sandwich, extra filling",68.2,4.33,24.52,510.8
3532,"Cookie, vanilla sandwich, reduced fat",78.16,4.17,10.42,423.1
3533,"Cookie, butter or sugar, with chocolate icing or filling",68.83,4.1,23.5,503.22
3534,"Cookie, butter or sugar, with icing or filling other than chocolate",72.7,3.38,14.93,438.69
3535,"Cookie, tea, Japanese",84.0,4.2,2.7,377.1
3536,"Cookie, vanilla wafer",72.6,4.9,16.41,457.69
3537,"Cookie, vanilla wafer, reduced fat",73.6,5.0,15.2,451.2
3538,"Cookie, vanilla with caramel, coconut, and chocolate coating",64.1,3.5,25.8,502.6
3539,"Cookie, rugelach",70.9,3.7,7.3,364.1
3540,"Cookie, chocolate chip, sugar free",73.4,3.9,16.8,460.4
3541,"Cookie, oatmeal, sugar free",69.9,4.8,18.0,460.8
3542,"Cookie, sandwich, sugar free",68.0,4.5,22.1,488.9
3543,"Cookie, sugar or plain, sugar free",50.52,10.34,31.03,522.71
3544,"Cookie, sugar wafer, sugar free",66.26,3.57,28.57,536.45
3545,"Cookie, peanut butter, sugar free",50.52,10.34,31.03,522.71
3546,"Cookie, gluten free",76.03,2.19,17.89,473.89
3547,"Cookies, Puerto Rican style",67.37,5.99,22.91,499.63
3548,"Pie, NFS",34.0,1.9,11.0,242.6
3549,"Pie, individual size or tart, NFS",42.6,3.0,16.1,327.3
3550,"Pie, fried, NFS",42.6,3.0,16.1,327.3
3551,"Pie, apple, two crust",34.0,1.9,11.0,242.6
3552,"Pie, apple, individual size or tart",42.6,3.0,16.1,327.3
3553,"Pie, apple, fried pie",42.6,3.0,16.1,327.3
3554,"Pie, apple, one crust",38.94,1.8,9.33,246.93
3555,"Pie, apricot, two crust",39.07,3.16,12.57,282.05
3556,"Pie, apricot, individual size or tart",42.6,3.0,16.1,327.3
3557,"Pie, apricot, fried pie",42.6,3.0,16.1,327.3
3558,"Pie, blackberry, two crust",35.21,2.81,12.36,263.32
3559,"Pie, blackberry, individual size or tart",36.44,3.11,14.0,284.2
3560,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust",39.56,2.6,13.83,293.11
3561,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; one crust",38.66,1.76,10.37,255.01
3562,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry, individual size or tart",40.61,2.96,15.56,314.32
3563,"Pie, blueberry, two crust",34.9,1.8,10.0,236.8
3564,"Pie, blueberry, individual size or tart",38.67,2.81,13.92,291.2
3565,"Pie, cherry, two crust",39.8,2.0,11.0,266.2
3566,"Pie, cherry, one crust",36.66,2.08,8.62,232.54
3567,"Pie, cherry, individual size or tart",39.8,2.0,11.0,266.2
3568,"Pie, cherry, fried pie",42.6,3.0,16.1,327.3
3569,"Pie, lemon, not cream or meringue",57.07,5.06,15.61,389.01
3570,"Pie, lemon, not cream or meringue, individual size or tart",56.7,5.25,16.85,399.45
3571,"Pie, lemon, fried pie",42.6,3.0,16.1,327.3
3572,"Pie, mince, two crust",48.0,2.6,10.8,299.6
3573,"Pie, peach, two crust",32.9,1.9,10.0,229.2
3574,"Pie, peach, one crust",38.8,2.22,8.34,239.14
3575,"Pie, peach, individual size or tart",39.28,3.21,14.25,298.21
3576,"Pie, peach, fried pie",42.6,3.0,16.1,327.3
3577,"Pie, pear, two crust",37.94,2.47,12.16,271.08
3578,"Pie, pear, individual size or tart",39.02,2.82,14.12,294.44
3579,"Pie, pineapple, two crust",34.73,2.56,12.1,258.06
3580,"Pie, pineapple, individual size or tart",42.6,3.0,16.1,327.3
3581,"Pie, raisin, two crust",36.92,2.66,10.96,256.96
3582,"Pie, raisin, individual size or tart",40.44,3.16,13.53,296.17
3583,"Pie, raspberry, one crust",35.42,2.06,8.81,229.21
3584,"Pie, raspberry, two crust",36.35,2.71,12.43,268.11
3585,"Pie, rhubarb, two crust",36.53,3.39,15.41,298.37
3586,"Pie, strawberry, one crust",34.55,2.29,9.63,234.03
3587,"Pie, strawberry-rhubarb, two crust",35.5,3.17,14.36,283.92
3588,"Pie, strawberry, individual size or tart",36.26,2.82,12.54,269.18
3589,"Pie, apple-sour cream",29.87,1.85,9.28,210.4
3590,"Pie, cherry, made with cream cheese and sour cream",39.66,3.13,13.09,288.97
3591,"Pie, banana cream",32.9,4.4,13.6,271.6
3592,"Pie, banana cream, individual size or tart",31.01,4.52,10.83,239.59
3593,"Pie, buttermilk",51.48,4.14,18.25,386.73
3594,"Pie, chess",53.34,5.31,20.11,415.59
3595,"Pie, chocolate cream",38.44,4.15,22.41,372.05
3596,"Pie, chocolate cream, individual size or tart",36.08,5.3,13.93,290.89
3597,"Pie, coconut cream",37.3,2.1,16.6,307.0
3598,"Pie, coconut cream, individual size or tart",25.37,5.45,11.39,225.79
3599,"Pie, custard",20.8,5.5,11.6,209.6
3600,"Pie, custard, individual size or tart",26.41,5.74,4.75,171.35
3601,Mixed fruit tart filled with custard or cream cheese,20.7,3.54,8.72,175.44
3602,Dessert pizza,32.31,1.87,7.56,204.76
3603,"Pie, lemon cream",38.51,4.61,10.95,271.03
3604,"Pie, lemon cream, individual size or tart",38.6,4.68,12.59,286.43
3605,"Pie, peanut butter cream",34.04,7.73,14.61,298.57
3606,"Pie, pineapple cream",28.9,3.77,7.68,199.8
3607,"Pie, pumpkin",34.83,3.9,9.75,242.67
3608,"Pie, pumpkin, individual size or tart",34.83,3.9,9.75,242.67
3609,"Pie, sour cream, raisin",34.12,5.06,22.63,360.39
3610,"Pie, squash",26.64,4.0,8.01,194.65
3611,"Pie, strawberry cream",26.27,1.65,10.76,208.52
3612,"Pie, strawberry cream, individual size or tart",28.7,2.23,13.35,243.87
3613,"Pie, sweet potato",29.03,3.26,15.08,264.88
3614,"Pie, vanilla cream",32.6,4.8,14.4,279.2
3615,"Pie, chiffon, not chocolate",40.09,6.66,11.83,293.47
3616,"Pie, chiffon, chocolate",41.34,6.39,15.07,326.55
3617,"Pie, black bottom",37.44,5.48,15.56,311.72
3618,"Pie, lemon meringue",47.2,1.5,8.7,273.1
3619,"Pie, lemon meringue, individual size or tart",47.2,1.5,8.7,273.1
3620,"Pie, chocolate-marshmallow",47.26,4.61,20.65,393.33
3621,"Pie, pecan",59.61,4.5,16.69,406.65
3622,"Pie, pecan, individual size or tart",59.61,4.5,16.69,406.65
3623,"Pie, oatmeal",59.91,5.12,15.82,402.5
3624,"Pie, pudding, flavors other than chocolate",29.85,2.85,11.75,236.55
3625,"Pie, Toll house chocolate chip",44.68,5.86,39.25,555.41
3626,"Pie, shoo-fly",60.6,3.93,11.1,358.02
3627,"Pie, tofu with fruit",22.06,4.78,12.13,216.53
3628,Pie shell,56.24,6.5,28.59,508.27
3629,"Pie shell, graham cracker",64.3,5.1,24.83,501.07
3630,"Pie shell, chocolate wafer",64.48,6.08,22.42,484.02
3631,Vanilla wafer dessert base,50.2,3.7,36.2,541.4
3632,"Blintz, cheese-filled",20.09,9.06,7.65,185.45
3633,"Blintz, fruit-filled",24.74,5.57,6.23,177.31
3634,"Cobbler, apple",36.38,2.31,4.95,199.31
3635,"Cobbler, apricot",35.71,2.64,4.43,193.27
3636,"Cobbler, berry",42.78,2.76,5.84,234.72
3637,"Cobbler, cherry",35.62,2.36,5.18,198.54
3638,"Cobbler, peach",38.42,2.48,4.75,206.35
3639,"Cobbler, pear",42.06,2.15,4.93,221.21
3640,"Cobbler, plum",38.28,2.28,4.78,205.26
3641,"Cobbler, rhubarb",46.74,2.37,6.68,256.56
3642,"Crisp, apple, apple dessert",30.68,2.09,3.54,162.94
3643,"Fritter, apple",34.75,6.46,24.46,384.98
3644,"Fritter, banana",34.42,5.05,21.34,349.94
3645,"Fritter, berry",31.37,5.62,21.95,345.51
3646,"Crisp, blueberry",40.87,1.87,10.14,262.22
3647,"Crisp, cherry",45.65,1.68,7.5,256.82
3648,"Crisp, peach",38.17,1.71,6.88,221.44
3649,"Cream puff, eclair, custard or cream filled, NS as to icing",10.52,4.5,24.36,279.32
3650,"Cream puff, eclair, custard or cream filled, not iced",12.49,4.92,21.35,261.79
3651,"Cream puff, eclair, custard or cream filled, iced",37.43,4.41,18.52,334.04
3652,"Cream puff, eclair, custard or cream filled, iced, reduced fat",41.72,3.46,7.14,244.98
3653,"Cream puff, no filling or icing",22.8,9.0,25.9,360.3
3654,"Air filled fritter or fried puff, without syrup, Puerto Rican style",50.21,6.46,23.75,440.43
3655,"Wheat flour fritter, without syrup",19.5,7.64,41.23,479.63
3656,"Sopaipilla, without syrup or honey",40.93,5.49,19.91,364.87
3657,Sopaipilla with syrup or honey,51.31,4.16,16.06,366.42
3658,"Crepe, NS as to filling",26.37,4.56,6.95,186.27
3659,"Crepe, chocolate filled",22.8,4.85,6.37,167.93
3660,"Crepe, fruit filled",26.38,4.56,6.95,186.31
3661,"Tamale, sweet",35.61,2.22,12.57,264.45
3662,"Tamale, sweet, with fruit",30.26,1.79,8.5,204.7
3663,"Strudel, apple",41.1,3.3,11.2,278.4
3664,"Strudel, berry",46.11,3.46,6.27,254.71
3665,"Strudel, cherry",43.14,4.23,10.06,280.02
3666,"Strudel, cheese",39.9,8.0,11.69,296.81
3667,"Strudel, peach",38.0,3.14,5.22,211.54
3668,"Strudel, cheese and fruit",31.27,5.51,7.73,216.69
3669,Baklava,38.58,5.62,27.23,421.87
3670,Basbousa,44.07,4.15,8.46,269.02
3671,"Turnover or dumpling, apple",43.55,3.64,18.08,351.48
3672,"Turnover or dumpling, berry",45.37,3.77,17.69,355.77
3673,"Turnover or dumpling, cherry",39.97,3.27,15.11,308.95
3674,"Turnover or dumpling, lemon",37.0,3.47,15.67,302.91
3675,"Turnover or dumpling, peach",43.34,3.95,16.61,338.65
3676,"Turnover, guava",37.44,3.98,16.28,312.2
3677,"Turnover, pumpkin",25.5,5.56,14.36,253.48
3678,"Pastry, fruit-filled",54.3,4.57,19.36,409.72
3679,"Pastry, made with bean or lotus seed paste filling, baked",67.71,6.8,4.21,335.93
3680,"Pastry, made with bean paste and salted egg yolk filling, baked",57.1,8.38,8.03,334.19
3681,"Pastry, Chinese, made with rice flour",45.16,2.46,6.04,244.84
3682,"Pastry, cookie type, fried",35.42,5.79,25.24,392.0
3683,"Pastry, Italian, with cheese",34.86,7.38,10.81,266.25
3684,"Pastry, puff",45.7,7.4,38.5,558.9
3685,"Pastry, puff, custard or cream filled, iced or not iced",29.89,5.86,29.78,411.02
3686,Cheese pastry puffs,13.03,9.27,19.36,263.44
3687,"Pastry, mainly flour and water, fried",59.25,7.75,18.11,430.99
3688,"Empanada, Mexican turnover, fruit-filled",42.17,4.7,16.25,333.73
3689,"Empanada,  Mexican turnover, pumpkin",41.7,4.57,11.63,289.75
3690,"Breakfast pastry, NFS",47.8,5.4,18.5,379.3
3691,"Danish pastry, plain or spice",44.6,7.0,22.4,408.0
3692,"Danish pastry, with fruit",47.8,5.4,18.5,379.3
3693,"Danish pastry, with cheese",37.2,8.0,21.9,377.9
3694,"Doughnut, NFS",49.52,5.52,22.86,425.9
3695,"Doughnut, cake type, plain",47.06,5.31,24.93,433.85
3696,"Doughnut, chocolate",51.95,5.2,22.44,430.56
3697,"Doughnut, cake type, powdered sugar",51.12,4.9,23.01,431.17
3698,"Doughnut, cake type, with icing",51.23,4.25,23.19,430.63
3699,"Doughnut, cake type, chocolate icing",50.29,4.47,23.46,430.18
3700,"Doughnut, chocolate, with chocolate icing",51.01,5.42,22.72,430.2
3701,Doughnut holes,49.52,5.52,22.86,425.9
3702,Churros,48.87,6.05,22.21,419.57
3703,Beignet,53.69,5.46,20.18,418.22
3704,"Doughnut, yeast type",47.93,6.14,22.7,420.58
3705,"Doughnut, yeast type, with chocolate icing",50.98,5.13,21.68,419.56
3706,"Doughnut, jelly",52.33,4.94,18.16,392.52
3707,"Doughnut, custard-filled",42.86,5.2,18.92,362.52
3708,"Doughnut, custard-filled, with icing",46.25,4.52,18.7,371.38
3709,Breakfast tart,71.83,4.01,9.02,384.54
3710,"Breakfast tart, lowfat",76.8,3.99,5.99,377.07
3711,"Coffee cake, crumb or quick-bread type",51.23,6.39,17.67,389.51
3712,"Coffee cake, crumb or quick-bread type, with fruit",50.14,4.13,11.31,318.87
3713,"Coffee cake, crumb or quick-bread type, cheese-filled",45.02,6.72,16.9,359.06
3714,Cereal or granola bar (General Mills Fiber One Chewy Bar),69.82,5.0,10.0,389.28
3715,Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),67.61,4.22,8.67,365.35
3716,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),67.61,4.22,8.67,365.35
3717,Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),66.72,9.38,10.93,402.77
3718,Milk 'n Cereal bar,72.05,6.47,10.98,412.9
3719,Cereal or granola bar (Kellogg's Special K bar),72.73,9.09,9.09,409.09
3720,Cereal or granola bar (Kashi Chewy),63.42,16.67,7.69,389.57
3721,Cereal or granola bar (Kashi Crunchy),53.26,18.57,15.71,428.71
3722,Cereal or granola bar (KIND Fruit and Nut Bar),44.3,13.69,31.89,518.97
3723,Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),72.27,5.71,11.43,414.79
3724,"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",74.29,5.71,11.43,422.87
3725,Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),61.14,9.14,22.86,486.86
3726,Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),64.4,10.1,19.8,476.2
3727,Cereal or granola bar (Quaker Chewy Granola Bar),70.2,5.65,16.57,452.53
3728,Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),79.17,4.17,8.33,408.33
3729,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),69.4,5.55,12.5,412.3
3730,Cereal or granola bar (Quaker Chewy Dipps Granola Bar),64.96,7.52,20.42,473.7
3731,Cereal or granola bar (Quaker Granola Bites),66.27,7.17,17.5,451.26
3732,"Snack bar, oatmeal",75.47,6.67,6.67,388.59
3733,"Cereal or Granola bar, NFS",64.4,10.1,19.8,476.2
3734,"Cereal or granola bar, lowfat, NFS",79.17,4.17,8.33,408.33
3735,"Cereal or granola bar, nonfat",77.6,5.9,0.9,342.1
3736,"Cereal or granola bar, reduced sugar, NFS",69.4,5.55,12.5,412.3
3737,"Cereal or granola bar, fruit and nut",44.3,13.69,31.89,518.97
3738,"Cereal or granola bar, peanuts , oats, sugar, wheat germ",64.4,10.1,19.8,476.2
3739,"Cereal or granola bar, chocolate coated, NFS",64.96,7.52,20.42,473.7
3740,"Cereal or granola bar, with coconut, chocolate coated",55.2,5.2,32.2,531.4
3741,"Cereal or granola bar with nuts, chocolate coated",54.1,9.6,31.2,535.6
3742,"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",60.13,8.6,20.0,454.92
3743,"Cereal or granola bar, coated with non-chocolate coating",53.4,10.2,31.1,534.3
3744,"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",69.82,5.0,10.0,389.28
3745,"Cereal or granola bar, with rice cereal",80.5,3.4,9.0,416.6
3746,"Breakfast bar, NFS",72.8,4.4,7.5,376.3
3747,"Breakfast bar, date, with yogurt coating",70.9,3.7,7.3,364.1
3748,"Breakfast bar, cereal crust with fruit filling, lowfat",72.8,4.4,7.5,376.3
3749,Nutrition bar (Balance Original Bar),48.73,28.0,12.0,414.92
3750,Nutrition bar (Clif Bar),65.44,14.71,5.88,373.52
3751,Nutrition bar (Clif Kids Organic Zbar),74.72,5.55,9.72,408.56
3752,Nutrition bar (PowerBar),69.63,14.15,3.11,363.11
3753,Nutrition bar (Slim Fast Original Meal Bar),60.21,16.19,8.92,385.88
3754,Nutrition bar (Snickers Marathon Protein Bar),50.5,25.0,12.5,414.5
3755,Nutrition bar (South Beach Living Meal Bar),60.21,16.19,8.92,385.88
3756,Nutrition bar (South Beach Living High Protein Bar),38.4,30.34,15.17,411.49
3757,Nutrition bar (Tiger's Milk),56.46,16.8,14.29,421.65
3758,Nutrition bar (Zone Perfect Classic Crunch),45.0,30.0,14.0,426.0
3759,"Nutrition bar or meal replacement bar, NFS",45.0,30.0,14.0,426.0
3760,"Cereal bar with fruit filling, baby food",68.63,5.43,5.3,343.94
3761,"Cookie, fruit, baby food",73.7,6.8,12.6,435.4
