,Сливочное масло с солью,717,0.85,81.11,0.06
4221,"Напитки газированные, низкокалорийные, калорийные, кроме колы или перца, без кофеина",0,0.1,0.0,0.0
4222,"Напитки газированные, лимонно-лаймовая содовая, без кофеина",41,0.09,0.0,10.42
4223,"Напитки газированные, спрайт, лимонно-лаймовые, без кофеина",40,0.05,0.02,10.14
4224,"Напитки газированные, низкокалорийные, калорийные, типа колы или перца, с аспартамом, без кофеина",1,0.12,0.0,0.12
4225,"Напитки газированные, кола, без кофеина",41,0.0,0.0,10.58
4226,"Напитки газированные, кола, обычные",42,0.0,0.25,10.36
4227,"Напитки газированные, с пониженным содержанием сахара, кола, содержат кофеин и подсластители",20,0.0,0.0,5.16
4228,Напитки газированные оранжевого цвета,48,0.0,0.0,12.3
4229,"Bev, газированный, низкокалорийный, калорийный, кроме колы или перца, с аспартамом, кофеином",0,0.1,0.0,0.0
4230,"Алкогольный напиток, вино, столовое, разбавленное, бургундское",86,0.07,0.0,3.69
4231,"Напитки газированные перечного типа, содержащие кофеин",41,0.0,0.1,10.4
4232,"Напитки, энергетический напиток с пониженным содержанием жиров",43,0.46,0.0,10.23
4233,"Напитки газированные, тонизирующая вода'",34,0.0,0.0,8.8
4234,"Напитки, энергетический напиток с пониженным содержанием жира, без сахара, с добавлением кофеина,",5,0.25,0.08,0.7
4235,"Напитки газированные, рутбир",41,0.0,0.0,10.6
4236,"Алкогольный напиток, вино, столовое, безалкогольное, гаме",78,0.07,0.0,2.38
4237,"Алкогольный напиток, вино, столовое, безалкогольное, муведр",88,0.07,0.0,2.64
4238,"Алкогольный напиток, вино, столовое, белое, шардоне",84,0.07,0.0,2.16
4239,"Напитки, напиток из киви с клубничным соком",47,0.0,0.0,12.26
4240,"Напитки, легкий напиток из яблочного сока, обогащенный витамином С",22,0.0,0.1,5.1
4241,"Напитки, шоколадный напиток на основе молока и сои, готовые к употреблению, обогащенные",101,4.22,1.69,17.3
4242,"Напитки, шоколадно-солодовый порошок, приготовленный на 1%-ном молоке, обогащенный",57,3.32,0.97,8.81
